merged,name,lat,lon,Address,Municipality,Sale price
"0 State Route 31, Sullivan, New York","State Route 31, Oneida Lake Beach West, Town of Sullivan, Madison County, New York, United States",43.149188,-75.854366,0 State Route 31,Sullivan,38900
"8321 Salt Springs Rd, Manlius (town), New York","8321, Salt Springs Road, Town of Manlius, Onondaga County, New York, 13104, United States",43.0291342,-75.9519843,8321 Salt Springs Rd,Manlius (town),115000
"8263 West Loop Rd, Montezuma, New York","8263, West Loop Road, Village of Port Byron, Cayuga County, New York, 13140, United States",43.017373,-76.70347699999999,8263 West Loop Rd,Montezuma,36500
"12360 Coleman Rd, Victory, New York","12360, Coleman Road, Town of Victory, Cayuga County, New York, 13143, United States",43.2153925,-76.65606600000001,12360 Coleman Rd,Victory,45000
"210 Wall St, Syracuse, New York","210, Wall Street, Westside, City of Syracuse, Onondaga County, New York, 13204, United States",43.0506551,-76.1728099,210 Wall St,Syracuse,4750
"210 Wall St, Syracuse, New York","210, Wall Street, Westside, City of Syracuse, Onondaga County, New York, 13204, United States",43.0506551,-76.1728099,210 Wall St,Syracuse,94375
"7424 Palmcrest Rd, Cicero, New York","7424, Palmcrest Road, City of Syracuse, Onondaga County, New York, 13212, United States",43.12811765,-76.10224625536092,7424 Palmcrest Rd,Cicero,197000
"Lot 2 Maple Road, Clay, New York","Maple Road, Rodger Corner, Town of Clay, Onondaga County, New York, 13041, United States",43.1616923,-76.1580098,Lot 2 Maple Road,Clay,40000
"5721 Harness Hook Lane, Manlius (town), New York","5721, Harness Hook Lane, Town of Manlius, Onondaga County, New York, 13082, United States",43.0570002,-75.9223401,5721 Harness Hook Lane,Manlius (town),70000
"7914 Ontario Ave, Cicero, New York","7914, Ontario Avenue, Lower South Bay, Town of Cicero, Onondaga County, New York, 13039, United States",43.1985818,-76.0587357,7914 Ontario Ave,Cicero,145000
"3188 Samantha Dr, Lysander, New York","3188, Samantha Drive, Radisson, Town of Lysander, Onondaga County, New York, 13027, United States",43.176405413594175,-76.29240015940441,3188 Samantha Dr,Lysander,40000
"Lot #38 Irwin Rd, Sterling, New York","Irwin Road, North Sterling, Town of Sterling, Cayuga County, New York, United States",43.391415,-76.6294,Lot #38 Irwin Rd,Sterling,14000
"237 Kinne St, East Syracuse, New York","237, Kinne Street, Village of East Syracuse, Town of De Witt, Onondaga County, New York, 13057, United States",43.0695964,-76.0774373,237 Kinne St,East Syracuse,240000
" O'Hara Rd, Redfield, New York","O Hara Road, Town of Redfield, Town of Williamstown, Oswego County, New York, United States",43.497911,-75.834871, O'Hara Rd,Redfield,68000
"4722 Weller Hall Place, Clay, New York","4722, Weller Hall Place, Town of Clay, Onondaga County, New York, 13041, United States",43.17853451020408,-76.18509704081633,4722 Weller Hall Place,Clay,58750
" Fyler Rd, Sullivan, New York","Fyler Road, North Chittenango, Town of Sullivan, Lenox, Madison County, New York, 13037, United States",43.086744,-75.887793, Fyler Rd,Sullivan,35000
" Fyler Rd, Sullivan, New York","Fyler Road, North Chittenango, Town of Sullivan, Lenox, Madison County, New York, 13037, United States",43.086744,-75.887793, Fyler Rd,Sullivan,25000
"766 Howell Rd, Conquest, New York","766, Howell Road, Village of Port Byron, Cayuga County, New York, 13140, United States",43.1386805,-76.688736,766 Howell Rd,Conquest,75000
"766 Howell Rd, Conquest, New York","766, Howell Road, Village of Port Byron, Cayuga County, New York, 13140, United States",43.1386805,-76.688736,766 Howell Rd,Conquest,50000
" Brandt Rd, Victory, New York","Brandt Road, Town of Victory, Cayuga County, New York, 13033, United States",43.211817,-76.604821, Brandt Rd,Victory,50000
" Brandt Rd, Victory, New York","Brandt Road, Town of Victory, Cayuga County, New York, 13033, United States",43.211817,-76.604821, Brandt Rd,Victory,45000
" Whitman Rd, Lincoln, New York","Whitman Road, Alene, Town of Lincoln, Madison County, New York, 13032, United States",43.015801,-75.710909, Whitman Rd,Lincoln,15000
" Newton Road, Madison (town), New York","Newton Road, Town of DeRuyter, Madison County, New York, 13052, United States",42.773185,-75.891879, Newton Road,Madison (town),50000
"5656 River Rock Dr, Elbridge (town), New York","5656, River Rock Drive, Town of Elbridge, Onondaga County, New York, 13060, United States",43.0414661,-76.4283606,5656 River Rock Dr,Elbridge (town),22000
"107 Minoa Lakes Drive, Minoa, New York","107, Minoa Lakes Drive, Village of Minoa, Town of Manlius, Onondaga County, New York, 13116, United States",43.06581657142857,-76.01103808163265,107 Minoa Lakes Drive,Minoa,70000
"107 Minoa Lakes Drive, Minoa, New York","107, Minoa Lakes Drive, Village of Minoa, Town of Manlius, Onondaga County, New York, 13116, United States",43.06581657142857,-76.01103808163265,107 Minoa Lakes Drive,Minoa,24000
"166 Goodfellow Rd, Palermo, New York","166, Goodfellow Road, City of Fulton, Oswego County, New York, 13069, United States",43.3543132,-76.3011415,166 Goodfellow Rd,Palermo,74000
"6417 Finish Line Trl, Cicero, New York","6417, Finish Line Trail, Town of Cicero, Onondaga County, New York, 13029, United States",43.1931029,-76.0875189,6417 Finish Line Trl,Cicero,47000
"9539 Clarecastle Path, Cicero, New York","9539, Clarecastle Path, Brewerton, Town of Cicero, Onondaga County, New York, 13029, United States",43.2297161,-76.1487949,9539 Clarecastle Path,Cicero,43500
" Berwick Rd S, Salina, New York","Berwick Road South, Lyncourt, Town of Salina, Onondaga County, New York, 13208, United States",43.083296,-76.13364, Berwick Rd S,Salina,8500
"130 Genesee St, Skaneateles (village), New York","130, East Genesee Street, Village of Skaneateles, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.943207,-76.4205851,130 Genesee St,Skaneateles (village),6100000
"204 Salisbury Rd, Syracuse, New York","204, Salisbury Road, City of Syracuse, Onondaga County, New York, 13219, United States",43.0423769,-76.1956226,204 Salisbury Rd,Syracuse,181450
" Salt Rd, Constantia, New York","Salt Road, Town of Constantia, Oswego County, New York, 13044, United States",43.3046627,-75.9769399, Salt Rd,Constantia,40000
"12172 Westbury Rd, Victory, New York","12172, Westbury Road, Town of Victory, Town of Butler, Cayuga County, New York, 13143, United States",43.2059602,-76.7077271,12172 Westbury Rd,Victory,36000
"2627 Route 13, Cazenovia (town), New York","2627, State Route 13, New Woodstock, Town of Cazenovia, Madison County, New York, 13122, United States",42.8496499,-75.8633622,2627 Route 13,Cazenovia (town),70000
"Lot #20 Westland Drive, Eaton, New York","Westland Drive, Pine Woods, Town of Eaton, Madison County, New York, 13310, United States",42.878483,-75.582557,Lot #20 Westland Drive,Eaton,50000
"7461 Murray Dr, Cicero, New York","7461, Murray Drive, Town of Cicero, Onondaga County, New York, 13039, United States",43.17883972787502,-76.00759436909466,7461 Murray Dr,Cicero,525000
" Austin Rd, Albion, New York","Austin Road, Town of Albion, Oswego County, New York, 13302, United States",43.484587,-75.978947, Austin Rd,Albion,28000
" Oberon Dr, Genoa, New York","Oberon Drive, Town of Genoa, Venice, Cayuga County, New York, 13081, United States",42.671722,-76.657071, Oberon Dr,Genoa,203000
" Superior Ave, Cicero, New York","Superior Avenue, Town of Cicero, Onondaga County, New York, 13039, United States",43.2010289,-76.0480347, Superior Ave,Cicero,60000
" Thomas Road, Nelson, New York","Thomas Road, Town of Nelson, Madison County, New York, 13035, United States",42.9089432,-75.7995629, Thomas Road,Nelson,1000
" Stagecoach Rd, Onondaga, New York","Stagecoach Road, Loomis Hill, Town of Onondaga, Marcellus, Onondaga County, New York, 13031, United States",43.016786,-76.23946, Stagecoach Rd,Onondaga,69900
" Stacy Dr, Boylston, New York","Stacy Drive, Town of Boylston, Oswego County, New York, United States",43.625134,-75.971144, Stacy Dr,Boylston,15000
" Baldwin Rd, Volney, New York","Baldwin Road, Drakes Corner, Town of Volney, Oswego County, New York, 13069, United States",43.367714,-76.355871, Baldwin Rd,Volney,51500
" Marguerite Dr, Lenox, New York","Marguerite Drive, Town of Lenox, Madison County, New York, 13032, United States",43.068149,-75.7506925, Marguerite Dr,Lenox,52000
"2902 Slate Hill Rd, Marcellus (town), New York","2902, Slate Hill Road, Town of Marcellus, Onondaga County, New York, 13110, United States",42.9125637,-76.3017846,2902 Slate Hill Rd,Marcellus (town),42000
"1843 Woodmancy Rd, Otisco, New York","1843, Woodmancy Road, Town of Tully, Onondaga County, New York, 13159, United States",42.8609402,-76.180563,1843 Woodmancy Rd,Otisco,195000
"83 Lake St, Skaneateles (village), New York","83, West Lake Street, Village of Skaneateles, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.9389487,-76.4324228,83 Lake St,Skaneateles (village),3215000
"202 Woodland Ave, Syracuse, New York","202, Woodland Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.02969653655301,-76.14374177846443,202 Woodland Ave,Syracuse,150000
" Schilly Rd, Hastings, New York","Schilly Road, Town of Hastings, Oswego County, New York, 13036, United States",43.323923,-76.210743, Schilly Rd,Hastings,22500
"182 Norton Rd, Sandy Creek (town), New York","182, Norton Road, Town of Sandy Creek, Oswego County, New York, 13145, United States",43.6473071264832,-76.13093154991475,182 Norton Rd,Sandy Creek (town),80000
"2057 Wickwire Rd, Hamilton (town), New York","2057, Wickwire Road, Town of Hamilton, Madison County, New York, 13355, United States",42.8210691,-75.4481438,2057 Wickwire Rd,Hamilton (town),45000
"130 Gettman Rd, Geddes, New York","130, Gettman Road, Lakeside, City of Syracuse, Town of Geddes, Onondaga County, New York, 13209, United States",43.1000662,-76.2544401,130 Gettman Rd,Geddes,20000
"133 Giddings Trl, Lysander, New York","133, Giddings Trail, Town of Lysander, Onondaga County, New York, 13027, United States",43.1698532,-76.3590589,133 Giddings Trl,Lysander,479900
"133 Giddings Trl, Lysander, New York","133, Giddings Trail, Town of Lysander, Onondaga County, New York, 13027, United States",43.1698532,-76.3590589,133 Giddings Trl,Lysander,54000
" Curtis Rd, Onondaga, New York","Curtis Road, Navarino, Town of Onondaga, Marcellus, Onondaga County, New York, 13215, United States",42.939465,-76.265208, Curtis Rd,Onondaga,10
" Gilbert Mills Rd, Volney, New York","Gilbert Mills Road, Town of Schroeppel, Town of Volney, Oswego County, New York, 13069, United States",43.31832,-76.324701, Gilbert Mills Rd,Volney,19008
"10 Crescent Av, Auburn, New York","10, Crescent Avenue, City of Auburn, Aurelius, Cayuga County, New York, 13021, United States",42.9175728,-76.5516154,10 Crescent Av,Auburn,20000
"5597 Muscovy Lane, Manlius (town), New York","Muscovy Lane, Town of Manlius, Onondaga County, New York, 13104, United States",42.997018,-75.940099,5597 Muscovy Lane,Manlius (town),150000
"22 La Casse Rd, Mexico (town), New York","22, La Casse Road, Town of Parish, Town of Mexico, Albion, Oswego County, New York, 13131, United States",43.442818,-76.1536365,22 La Casse Rd,Mexico (town),15000
" Cayuga St, Fair Haven, New York","Cayuga Street, North Fair Haven, Village of Fair Haven, Town of Sterling, Cayuga County, New York, 13156, United States",43.326938,-76.698531, Cayuga St,Fair Haven,28000
"9665 Kenzie Grace Path, Clay, New York","Kenzie Grace Path, Town of Clay, Onondaga County, New York, 13029, United States",43.2375233,-76.1654552,9665 Kenzie Grace Path,Clay,60201
"9665 Kenzie Grace Path, Clay, New York","Kenzie Grace Path, Town of Clay, Onondaga County, New York, 13029, United States",43.2375233,-76.1654552,9665 Kenzie Grace Path,Clay,60000
"3036 Chillingham Way, Lysander, New York","3036, Chillingham Way, Town of Lysander, Onondaga County, New York, 13027, United States",43.1561244,-76.2960924,3036 Chillingham Way,Lysander,86000
" Zahler Tract, Sandy Creek (town), New York","Zahler Tract, Town of Sandy Creek, Oswego County, New York, 13145, United States",43.637629,-76.159771, Zahler Tract,Sandy Creek (town),8000
"Lot #45 Irwin Rd, Sterling, New York","Irwin Road, North Sterling, Town of Sterling, Cayuga County, New York, United States",43.391415,-76.6294,Lot #45 Irwin Rd,Sterling,14000
" New Yorker Avenue, Lenox, New York","New Yorker Avenue, Town of Lenox, Madison County, New York, 13032, United States",43.064593,-75.761775, New Yorker Avenue,Lenox,7400
"2365 Patterson Rd, Otisco, New York","2365, Patterson Road, Gamble Mill, Town of Otisco, Marcellus, Onondaga County, New York, 13110, United States",42.8859061,-76.2747728,2365 Patterson Rd,Otisco,425000
"14039 Wilde Rd, Sterling, New York","14039, Wilde Road, Town of Sterling, Cayuga County, New York, 13111, United States",43.2964145,-76.6145803,14039 Wilde Rd,Sterling,25300
"12657 Ira Station Rd, Victory, New York","12657, Ira Station Road, Town of Victory, Cayuga County, New York, 13111, United States",43.2284375,-76.6039955,12657 Ira Station Rd,Victory,58400
"127 Giddings Trl, Lysander, New York","127, Giddings Trail, Town of Lysander, Onondaga County, New York, 13027, United States",43.1690914,-76.3590333,127 Giddings Trl,Lysander,54000
"127 Giddings Trl, Lysander, New York","127, Giddings Trail, Town of Lysander, Onondaga County, New York, 13027, United States",43.1690914,-76.3590333,127 Giddings Trl,Lysander,50000
"4354 November Ln, Onondaga, New York","4354, November Lane, Town of Onondaga, Marcellus, Onondaga County, New York, 13215, United States",43.01472183333333,-76.21559475000001,4354 November Ln,Onondaga,740000
" Stevens Rd, Otisco, New York","Stevens Road, Town of Otisco, Onondaga County, New York, 13159, United States",42.8208597,-76.2035701, Stevens Rd,Otisco,40000
"4425 Winding Creek Rd, Pompey, New York","4425, Winding Creek Road, Buellville, Town of Manlius, Onondaga County, New York, 13104, United States",42.9775958,-75.9538716,4425 Winding Creek Rd,Pompey,629900
"45055 34Th St, Constantia, New York","34th Street, Doris Park, Constantia CDP, Oswego County, New York, 13044, United States",43.247264,-76.018687,45055 34Th St,Constantia,33500
" Lakeshore Rd, Cicero, New York","Lakeshore Road, Lower South Bay, Town of Cicero, Onondaga County, New York, 13039, United States",43.187726,-76.087167, Lakeshore Rd,Cicero,202500
"9537 Clarecastle Path, Cicero, New York","9537, Clarecastle Path, Brewerton, Town of Cicero, Onondaga County, New York, 13029, United States",43.2294823,-76.1487752,9537 Clarecastle Path,Cicero,43500
"14872 Hadcock Dr, Fair Haven, New York","14872, Hadcock Drive, Village of Fair Haven, Town of Sterling, Cayuga County, New York, 13156, United States",43.3323687,-76.7135935,14872 Hadcock Dr,Fair Haven,290000
"5561 Rolling Meadows Way, Camillus (town), New York","5561, Rolling Meadows Way, Town of Camillus, Onondaga County, New York, 13031, United States",43.0419291,-76.3294822,5561 Rolling Meadows Way,Camillus (town),443200
" Watervale Rd, Pompey, New York","Watervale Road, Watervale, Town of Pompey, Onondaga County, New York, 13104, United States",42.950176,-75.98239, Watervale Rd,Pompey,62500
"217 Kellogg St, Syracuse, New York","217, Kellogg Street, Near Westside, City of Syracuse, Onondaga County, New York, 13204, United States",43.0384732,-76.1639413,217 Kellogg St,Syracuse,976
"100 Lansing St, Auburn, New York","100, Lansing Street, City of Auburn, Aurelius, Cayuga County, New York, 13021, United States",42.940893,-76.55549049999999,100 Lansing St,Auburn,9900
"397 Powers Rd, Genoa, New York","397, Powers Road, Atwaters, Town of Genoa, Venice, Cayuga County, New York, 13081, United States",42.6370004,-76.6529073,397 Powers Rd,Genoa,120000
"104 Smokey Hollow Rd, Baldwinsville, New York","104, Smokey Hollow Road, Village of Baldwinsville, Town of Lysander, Onondaga County, New York, 13027, United States",43.169626,-76.3396691,104 Smokey Hollow Rd,Baldwinsville,150000
"135 Baker Ave, Syracuse, New York","135, Baker Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.0303838,-76.1440533,135 Baker Ave,Syracuse,150000
"7109 Lakeshore Rd, Cicero, New York","7109, Lakeshore Road, Kraus Landing, Town of Cicero, Onondaga County, New York, 13039, United States",43.1908021,-76.0322073,7109 Lakeshore Rd,Cicero,95000
"13805 Martville Rd, Sterling, New York","13805, Martville Road, Martville, Town of Sterling, Cayuga County, New York, 13111, United States",43.284927,-76.62528774222221,13805 Martville Rd,Sterling,43000
"7632 Hunt Ln, Manlius (town), New York","7632, Hunt Lane, High Bridge, Town of Manlius, Onondaga County, New York, 13066, United States",43.0153962,-75.99858396418823,7632 Hunt Ln,Manlius (town),257000
" Depot Rd, Sennett, New York","Depot Road, Town of Sennett, Brutus, Cayuga County, New York, 13153, United States",42.997391,-76.493221, Depot Rd,Sennett,10000
" Route 92, Cazenovia (town), New York","State Route 13, New Woodstock, Town of Cazenovia, Madison County, New York, 13122, United States",42.850165,-75.862891, Route 92,Cazenovia (town),200000
"422 Washington Ave, Oneida (city), New York","422, Washington Avenue, City of Oneida, Lincoln, Madison County, New York, 13421, United States",43.0904461,-75.6597426,422 Washington Ave,Oneida (city),157000
"202 Shuart Ave, Syracuse, New York","202, Shuart Avenue, Lincoln Park, City of Syracuse, Onondaga County, New York, 13203, United States",43.0601389,-76.1278184,202 Shuart Ave,Syracuse,155000
"207 Coral Avenue, Syracuse, New York","207, Coral Avenue, North Valley, City of Syracuse, Onondaga County, New York, 13207, United States",43.0091431,-76.1500224,207 Coral Avenue,Syracuse,151
"207 Coral Avenue, Syracuse, New York","207, Coral Avenue, North Valley, City of Syracuse, Onondaga County, New York, 13207, United States",43.0091431,-76.1500224,207 Coral Avenue,Syracuse,151
"6090 Newport Rd, Camillus (town), New York","6090, Newport Road, Newport, Town of Camillus, Onondaga County, New York, 13031, United States",43.0672428,-76.3223695,6090 Newport Rd,Camillus (town),30000
" Jewett Rd, Skaneateles (town), New York","Jewett Road, Willow Glen, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.964044,-76.426482, Jewett Rd,Skaneateles (town),20000
"336 Bangall Rd, Parish (town), New York","336, Bangall Road, Town of Parish, Albion, Oswego County, New York, 13131, United States",43.438007,-76.12381373399015,336 Bangall Rd,Parish (town),10000
"799 Cowles Settlement Rd, Fabius (town), New York","799, Cowles Settlement Road, Town of Fabius, Onondaga County, New York, 13063, United States",42.807157,-75.9460664,799 Cowles Settlement Rd,Fabius (town),655000
"857-859 Crow Hill Rd, Skaneateles (town), New York","Crow Hill Road, Mottville, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.9731088,-76.4443746,857-859 Crow Hill Rd,Skaneateles (town),715000
" Van Buren Rd, Van Buren, New York","Van Buren Road, Edgewood Garden, Town of Camillus, Onondaga County, New York, 13027, United States",43.094088,-76.274711, Van Buren Rd,Van Buren,65000
"3 Aurora St, Moravia (village), New York","3, Aurora Street, Village of Moravia, Town of Moravia, Venice, Cayuga County, New York, 13118, United States",42.7104147,-76.421809,3 Aurora St,Moravia (village),20000
"3230 Webb Road, LaFayette, New York","3230, Webb Road, Town of LaFayette, Onondaga County, New York, 13084, United States",42.9253330101711,-76.12283202330408,3230 Webb Road,LaFayette,48000
"228 Campbell Rd, Salina, New York","228, Campbell Road, Hinsdale, Mattydale, City of Syracuse, Onondaga County, New York, 13211, United States",43.1026696,-76.1389883,228 Campbell Rd,Salina,180000
"516 Rich St, Syracuse, New York","516, Rich Street, City of Syracuse, Onondaga County, New York, 13207, United States",43.0292459,-76.1610327,516 Rich St,Syracuse,5000
" Champlin Road, Summerhill, New York","Champlin Road, Town of Summerhill, Cayuga County, New York, 13092, United States",42.637847,-76.29611, Champlin Road,Summerhill,25880
"7768 Longbow Way, Lysander, New York","7768, Longbow Way, Town of Lysander, Onondaga County, New York, 13027, United States",43.14398440104419,-76.25898928903595,7768 Longbow Way,Lysander,130000
"2935 Smith Rd, Marcellus (town), New York","2935, Smith Road, Town of Marcellus, Onondaga County, New York, 13110, United States",42.9134737,-76.2843896,2935 Smith Rd,Marcellus (town),220000
"371 River Rd, Oswego (city), New York","River Road, City of Fulton, Oswego County, New York, 13069, United States",43.336911,-76.414907,371 River Rd,Oswego (city),700000
"6413 Finish Line Trl, Cicero, New York","6413, Finish Line Trail, Town of Cicero, Onondaga County, New York, 13029, United States",43.1931344,-76.087176,6413 Finish Line Trl,Cicero,47000
"2001-2005 Coon Hill Rd, Skaneateles (town), New York","Coon Hill Road, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.917831,-76.381987,2001-2005 Coon Hill Rd,Skaneateles (town),687500
"301 Willow St, Oneida (city), New York","301, North Willow Street, City of Oneida, Lenox, Madison County, New York, 13421, United States",43.0987022,-75.6621391,301 Willow St,Oneida (city),305000
"4539 Hollyshire Way, Clay, New York","Hollyshire Way, Town of Clay, Onondaga County, New York, 13041, United States",43.2024673,-76.1991162,4539 Hollyshire Way,Clay,67500
"1438 Berwyn Rd, Fabius (town), New York","1438, Berwyn Road, Berwyn, Town of Fabius, Onondaga County, New York, 13084, United States",42.8408488,-76.0388138,1438 Berwyn Rd,Fabius (town),13000
"6941 River Rd, Van Buren, New York","6941, River Road, Town of Van Buren, Onondaga County, New York, 13112, United States",43.1063337,-76.4259139,6941 River Rd,Van Buren,22000
" Old State Rd, Amboy, New York","Old State Road, Mud Hill, Town of Amboy, Oswego County, New York, 13493, United States",43.395902,-75.920667, Old State Rd,Amboy,35000
"3427 Tall Tree Lane, Lysander, New York","Tall Tree Lane, Town of Lysander, Onondaga County, New York, 13027, United States",43.1604722,-76.2738393,3427 Tall Tree Lane,Lysander,490000
"3427 Tall Tree Lane, Lysander, New York","Tall Tree Lane, Town of Lysander, Onondaga County, New York, 13027, United States",43.1604722,-76.2738393,3427 Tall Tree Lane,Lysander,80000
"3004 Verona Ct, Lysander, New York","3004, Verona Court, Radisson, Town of Lysander, Onondaga County, New York, 13027, United States",43.172181666526456,-76.29234268278927,3004 Verona Ct,Lysander,377900
" Paddy Lake Rd, Volney, New York","Paddy Lake Road, Town of Volney, Oswego County, New York, United States",43.406313,-76.383399, Paddy Lake Rd,Volney,45000
"5695 Ike Dixon Rd, Camillus (town), New York","5695, Ike Dixon Road, Town of Camillus, Onondaga County, New York, 13031, United States",43.0473181,-76.3404746,5695 Ike Dixon Rd,Camillus (town),55000
"5695 Ike Dixon Rd, Camillus (town), New York","5695, Ike Dixon Road, Town of Camillus, Onondaga County, New York, 13031, United States",43.0473181,-76.3404746,5695 Ike Dixon Rd,Camillus (town),50000
" Lower Burma Rd, Spafford, New York","Lower Burma Road, Town of Spafford, Onondaga County, New York, 13110, United States",42.872953,-76.305687, Lower Burma Rd,Spafford,85000
"828 Rider St, Parish (village), New York","828, Rider Street, Village of Parish, Town of Parish, Albion, Oswego County, New York, 13131, United States",43.4052935,-76.1249213,828 Rider St,Parish (village),12000
"1344 Lick St, Summerhill, New York","1344, Lick Street, Town of Moravia, Cayuga County, New York, 13118, United States",42.683413,-76.34431157980771,1344 Lick St,Summerhill,35000
" Academy St, Mexico (village), New York","Academy Street, Village of Mexico, Town of Mexico, Oswego County, New York, 13114, United States",43.4668317,-76.2375337, Academy St,Mexico (village),25000
" Foxwood Ave, Volney, New York","Foxwood Avenue, Town of Volney, Oswego County, New York, 13069, United States",43.32,-76.393695, Foxwood Ave,Volney,26000
" Route 31, Sullivan, New York","Kalin Weber Road, Town of Lumberland, Sullivan County, New York, 12737, United States",41.484488,-74.784667, Route 31,Sullivan,31000
"3779 Malibu Hills Drive, Camillus (town), New York","3779, Malibu Hills Drive, City of Syracuse, Onondaga County, New York, 13209, United States",43.06038,-76.2512566,3779 Malibu Hills Drive,Camillus (town),65000
"9129 Whistling Swan Ln, Manlius (town), New York","9129, Whistling Swan Lane, Town of Manlius, Onondaga County, New York, 13104, United States",42.9900346,-75.9377143,9129 Whistling Swan Ln,Manlius (town),60000
"4345 Howlett Hill Rd, Onondaga, New York","4345, Howlett Hill Road, Loomis Hill, Town of Onondaga, Marcellus, Onondaga County, New York, 13215, United States",43.01256595955148,-76.2133614246488,4345 Howlett Hill Rd,Onondaga,93600
"22 E Catfish Dr, New Haven, New York","22, East Catfish Drive, Hickory Grove, Town of New Haven, Oswego County, New York, 13126, United States",43.5114598,-76.3192812,22 E Catfish Dr,New Haven,6000
"25 Stone Ridge Dr, Scriba, New York","25, Stone Ridge Drive, Lansing, Town of Scriba, Oswego County, New York, 13126, United States",43.4468397,-76.456883,25 Stone Ridge Dr,Scriba,33000
"4180 Lafayette Rd, Onondaga, New York","4180, Lafayette Road, Town of Onondaga, Onondaga County, New York, 13078, United States",42.9731771,-76.1074231,4180 Lafayette Rd,Onondaga,249000
"4153 Oran Gulf Rd, Pompey, New York","4153, Oran Gulf Road, Oran, Town of Manlius, Onondaga County, New York, 13104, United States",42.9725186,-75.937852,4153 Oran Gulf Rd,Pompey,70000
"4421 Watervale Rd, Pompey, New York","4421, Watervale Road, Town of Manlius, Onondaga County, New York, 13104, United States",42.9861443,-75.9933048,4421 Watervale Rd,Pompey,50000
" Giles Rd, Skaneateles (town), New York","Giles Road, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.897374,-76.440488, Giles Rd,Skaneateles (town),250000
"371 Fourth St, Fulton, New York","371, Fourth Street, Village of Northville, Town of Northampton, Fulton County, New York, 12134, United States",43.228699588235294,-74.17873217647059,371 Fourth St,Fulton,120000
" Route 128B, Madison (town), New York","State Route 80, Town of Georgetown, Madison County, New York, 13072, United States",42.7455448,-75.7433141, Route 128B,Madison (town),120000
"377 Blythe Rd, Hannibal (town), New York","377, Blythe Road, Town of Hannibal, Oswego County, New York, 13074, United States",43.345849,-76.60941530182927,377 Blythe Rd,Hannibal (town),250000
" Flat Rock Rd, Camillus (town), New York","Flat Rock Road, Sweets Crossing, Town of Camillus, Onondaga County, New York, 13060, United States",43.021033,-76.363515, Flat Rock Rd,Camillus (town),20000
" Boca Raton Way, Onondaga, New York","Boca Raton Way, Town of Onondaga, Onondaga County, New York, 13207, United States",43.0234499,-76.1838457, Boca Raton Way,Onondaga,118000
"5742 Bull Hill Rd, Onondaga, New York","5742, Bull Hill Road, Town of Onondaga, Onondaga County, New York, 13084, United States",42.9486247,-76.1243802,5742 Bull Hill Rd,Onondaga,65000
"373 New Scriba Dr, Orwell, New York","373, New Scriba Drive, New Scriba, Town of Richland, Oswego County, New York, 13144, United States",43.6066815,-75.9392234813123,373 New Scriba Dr,Orwell,15000
" Creek Road, Sullivan, New York","Creek Road, Town of Sullivan, Lenox, Madison County, New York, 13037, United States",43.046544,-75.839091, Creek Road,Sullivan,50000
"3366 Longview Terrace, Lysander, New York","Longview Terrace, Radisson, Town of Lysander, Onondaga County, New York, 13135, United States",43.2023512,-76.2840647,3366 Longview Terrace,Lysander,80000
" Poverty Ln, Sempronius, New York","Poverty Lane, Town of Sempronius, Town of Summerhill, Cayuga County, New York, United States",42.697778,-76.288724, Poverty Ln,Sempronius,13000
" Poverty Ln, Sempronius, New York","Poverty Lane, Town of Sempronius, Town of Summerhill, Cayuga County, New York, United States",42.697778,-76.288724, Poverty Ln,Sempronius,116136
"1479 Lamoy Road, Sullivan, New York","1479, Lamoy Road, Town of Sullivan, Madison County, New York, 13037, United States",43.0992377,-75.8956422,1479 Lamoy Road,Sullivan,25000
"59 Brook Hollow Dr, Owasco, New York","59, Brook Hollow Drive, City of Auburn, Cayuga County, New York, 13021, United States",42.8615925,-76.50932296683341,59 Brook Hollow Dr,Owasco,757050
"4474 Weller Hall Place, Clay, New York","Weller Hall Place, Town of Clay, Onondaga County, New York, 13041, United States",43.1784843,-76.1844928,4474 Weller Hall Place,Clay,58750
"7349 Buckley Rd, Clay, New York","7349, Buckley Road, Town of Clay, Onondaga County, New York, 13212, United States",43.12748047410093,-76.16036208034068,7349 Buckley Rd,Clay,55000
"4310 Tiger Lily Path, Clay, New York","Tiger Lily Path, Town of Clay, Onondaga County, New York, 13090, United States",43.1581507,-76.2092185,4310 Tiger Lily Path,Clay,78500
"4305 Tiger Lily Path, Clay, New York","Tiger Lily Path, Town of Clay, Onondaga County, New York, 13090, United States",43.1581507,-76.2092185,4305 Tiger Lily Path,Clay,73500
"5857 Powder Horn Ln., Onondaga, New York","Powder Horn Lane, Town of Onondaga, Onondaga County, New York, 13078, United States",42.9850579,-76.1161856,5857 Powder Horn Ln.,Onondaga,150000
" Strong Rd, Tully (town), New York","Strong Road, Vesper, Town of Tully, Onondaga County, New York, 13159, United States",42.813601,-76.179265, Strong Rd,Tully (town),25000
